min_entailment,max_contradiction,precision,recall,tp,fp,fn
0.5,0.02,1.0,0.5892857142857143,33,0,23
0.5,0.05,1.0,0.6071428571428571,34,0,22
0.5,0.1,1.0,0.6607142857142857,37,0,19
0.5,0.15,1.0,0.6607142857142857,37,0,19
0.5,0.2,1.0,0.6607142857142857,37,0,19
0.5,0.3,1.0,0.6607142857142857,37,0,19
0.5,1.01,1.0,0.6607142857142857,37,0,19
0.51,0.02,1.0,0.5892857142857143,33,0,23
0.51,0.05,1.0,0.6071428571428571,34,0,22
0.51,0.1,1.0,0.6428571428571429,36,0,20
0.51,0.15,1.0,0.6428571428571429,36,0,20
0.51,0.2,1.0,0.6428571428571429,36,0,20
0.51,0.3,1.0,0.6428571428571429,36,0,20
0.51,1.01,1.0,0.6428571428571429,36,0,20
0.52,0.02,1.0,0.5892857142857143,33,0,23
0.52,0.05,1.0,0.6071428571428571,34,0,22
0.52,0.1,1.0,0.6428571428571429,36,0,20
0.52,0.15,1.0,0.6428571428571429,36,0,20
0.52,0.2,1.0,0.6428571428571429,36,0,20
0.52,0.3,1.0,0.6428571428571429,36,0,20
0.52,1.01,1.0,0.6428571428571429,36,0,20
0.53,0.02,1.0,0.5892857142857143,33,0,23
0.53,0.05,1.0,0.6071428571428571,34,0,22
0.53,0.1,1.0,0.6428571428571429,36,0,20
0.53,0.15,1.0,0.6428571428571429,36,0,20
0.53,0.2,1.0,0.6428571428571429,36,0,20
0.53,0.3,1.0,0.6428571428571429,36,0,20
0.53,1.01,1.0,0.6428571428571429,36,0,20
0.54,0.02,1.0,0.5892857142857143,33,0,23
0.54,0.05,1.0,0.6071428571428571,34,0,22
0.54,0.1,1.0,0.6428571428571429,36,0,20
0.54,0.15,1.0,0.6428571428571429,36,0,20
0.54,0.2,1.0,0.6428571428571429,36,0,20
0.54,0.3,1.0,0.6428571428571429,36,0,20
0.54,1.01,1.0,0.6428571428571429,36,0,20
0.55,0.02,1.0,0.5892857142857143,33,0,23
0.55,0.05,1.0,0.6071428571428571,34,0,22
0.55,0.1,1.0,0.6428571428571429,36,0,20
0.55,0.15,1.0,0.6428571428571429,36,0,20
0.55,0.2,1.0,0.6428571428571429,36,0,20
0.55,0.3,1.0,0.6428571428571429,36,0,20
0.55,1.01,1.0,0.6428571428571429,36,0,20
0.56,0.02,1.0,0.5892857142857143,33,0,23
0.56,0.05,1.0,0.6071428571428571,34,0,22
0.56,0.1,1.0,0.6428571428571429,36,0,20
0.56,0.15,1.0,0.6428571428571429,36,0,20
0.56,0.2,1.0,0.6428571428571429,36,0,20
0.56,0.3,1.0,0.6428571428571429,36,0,20
0.56,1.01,1.0,0.6428571428571429,36,0,20
0.57,0.02,1.0,0.5892857142857143,33,0,23
0.57,0.05,1.0,0.6071428571428571,34,0,22
